record_id,date,school_id,grade,total_students,present_students,teacher_present,marked_by
ATT0014175,15-06-2025,SCH-0213,4,196,185,0,Headmaster
ATT0005035,22-07-2025,SCH-0099,2,174,145,1,Clerk
ATT0005655,21-07-2025,SCH-0289,2,183,146,0,Clerk
ATT0014219,04-07-2025,SCH-0397,3,186,153,0,Headmaster
ATT0018689,23-10-2025,SCH-0213,2,190,157,0,Admin
ATT0011622,18-03-2026,SCH-0205,6,134,89,1,Not Recorded
ATT0018888,09-04-2025,SCH-0298,5,154,140,1,Class Teacher
ATT0010713,17-08-2025,SCH-0235,5,299,315,1,Class Teacher
ATT0017567,24-01-2026,SCH-0059,4,267,231,1,Not Recorded
ATT0007223,29-10-2025,SCH-0381,8,63,55,1,Class Teacher
ATT0003740,25-08-2025,SCH-0131,1,161,109,1,Class Teacher
ATT0002196,25-02-2026,SCH-0470,5,153,153,1,Class Teacher
ATT0008740,01-01-2026,SCH-0596,2,160,131,1,Not Recorded
ATT0012217,16-04-2025,SCH-0132,4,51,45,1,Class Teacher
ATT0014927,13-05-2025,SCH-0593,1,77,65,1,Headmaster
ATT0014708,07-03-2026,SCH-0371,4,110,69,1,Clerk
ATT0009416,08-11-2025,SCH-0345,9,266,260,1,Headmaster
ATT0006308,08-07-2025,SCH-0148,1,197,179,0,Admin
ATT0013099,09-10-2025,SCH-0194,8,129,122,1,Not Recorded
ATT0019041,15-04-2025,SCH-0210,2,89,65,0,Headmaster
ATT0018193,24-02-2026,SCH-0486,7,84,69,0,Clerk
ATT0001088,16-05-2025,SCH-0038,6,115,80,1,Clerk
ATT0013698,07-08-2025,SCH-0061,2,143,126,0,Admin
ATT0019226,19-03-2026,SCH-0507,6,252,153,1,Clerk
ATT0005763,13-06-2025,SCH-0535,4,139,124,1,Headmaster
ATT0008627,20-11-2025,SCH-0042,3,236,162,1,Admin
ATT0016608,16-06-2025,SCH-0539,4,270,163,1,Headmaster
ATT0016748,13-05-2025,SCH-0550,8,257,249,1,Headmaster
ATT0014371,14-01-2026,SCH-0351,7,293,198,1,Headmaster
ATT0006789,21-05-2025,SCH-0537,10,238,196,1,Headmaster
ATT0019295,19-02-2026,SCH-0256,3,76,73,1,Clerk
ATT0015631,26-02-2026,SCH-0527,6,250,201,1,Not Recorded
ATT0003352,24-06-2025,SCH-0558,4,177,109,1,Clerk
ATT0013112,27-03-2026,SCH-0014,4,184,122,1,Clerk
ATT0000342,23-03-2026,SCH-0024,4,233,204,1,Class Teacher
ATT0002381,06-12-2025,SCH-0012,1,78,47,1,Clerk
ATT0014806,07-04-2025,SCH-0437,9,114,72,1,Headmaster
ATT0014906,08-02-2026,SCH-0488,1,174,168,1,Admin
ATT0017596,23-06-2025,SCH-0317,2,259,250,1,Admin
ATT0008727,24-02-2026,SCH-0024,7,138,86,0,Not Recorded
ATT0016450,22-03-2026,SCH-0596,3,236,236,1,Class Teacher
ATT0002306,11-10-2025,SCH-0271,3,45,41,0,Headmaster
ATT0012052,06-02-2026,SCH-0367,4,289,188,1,Class Teacher
ATT0003480,20-05-2025,SCH-0295,3,147,97,1,Clerk
ATT0009137,17-02-2026,SCH-0139,1,173,152,0,Clerk
ATT0007525,13-12-2025,SCH-0206,9,261,188,1,Not Recorded
ATT0010353,12-06-2025,SCH-0289,3,131,82,1,Not Recorded
ATT0012107,13-04-2025,SCH-0172,1,214,214,1,Class Teacher
ATT0015379,12-05-2025,SCH-0246,4,84,80,1,Admin
ATT0019606,05-08-2025,SCH-0392,10,55,42,1,Not Recorded
ATT0016832,18-11-2025,SCH-0031,10,61,40,1,Clerk
ATT0013190,19-09-2025,SCH-0450,1,156,156,1,Clerk
ATT0003799,11-01-2026,SCH-0225,1,92,104,1,Clerk
ATT0015816,04-05-2025,SCH-0380,8,187,187,1,Class Teacher
ATT0019080,23-07-2025,SCH-0107,5,190,179,1,Headmaster
ATT0016929,09-09-2025,SCH-0038,3,279,227,1,Clerk
ATT0003669,24-11-2025,SCH-0048,5,299,244,1,Headmaster
ATT0018433,08-09-2025,SCH-0452,4,134,93,1,Headmaster
ATT0006326,21-11-2025,SCH-0366,3,63,58,1,Headmaster
ATT0013584,30-11-2025,SCH-0068,4,64,64,0,Not Recorded
ATT0000134,26-02-2026,SCH-0036,5,83,50,1,Headmaster
ATT0013830,07-02-2026,SCH-0124,5,197,152,0,Headmaster
ATT0013856,21-04-2025,SCH-0448,8,177,138,0,Headmaster
ATT0003779,25-04-2025,SCH-0040,2,129,91,0,Class Teacher
ATT0000386,16-04-2025,SCH-0105,2,132,119,1,Headmaster
ATT0012462,12-08-2025,SCH-0032,6,183,143,0,Not Recorded
ATT0011447,09-05-2025,SCH-0097,4,46,38,1,Admin
ATT0002172,14-07-2025,SCH-0004,2,298,229,0,Headmaster
ATT0019703,11-08-2025,SCH-0141,2,248,200,1,Admin
ATT0015261,21-09-2025,SCH-0048,2,166,166,0,Headmaster
ATT0005663,28-07-2025,SCH-0328,10,60,44,1,Clerk
ATT0001356,27-06-2025,SCH-0523,3,60,39,1,Headmaster
ATT0002086,22-11-2025,SCH-0334,5,240,233,1,Not Recorded
ATT0019163,27-09-2025,SCH-0008,3,196,189,1,Clerk
ATT0010361,21-08-2025,SCH-0180,7,188,134,1,Not Recorded
ATT0011548,04-07-2025,SCH-0155,3,271,224,1,Clerk
ATT0002387,12-05-2025,SCH-0412,1,203,141,1,Admin
ATT0012785,26-04-2025,SCH-0193,10,156,114,1,Admin
ATT0000475,14-11-2025,SCH-0377,3,292,204,0,Class Teacher
ATT0003435,26-12-2025,SCH-0067,8,63,57,1,Admin
ATT0005306,04-04-2025,SCH-0249,5,256,205,1,Class Teacher
ATT0008088,12-05-2025,SCH-0552,5,198,175,1,Headmaster
ATT0004843,06-06-2025,SCH-0075,7,143,99,1,Headmaster
ATT0013436,16-02-2026,SCH-0329,10,70,53,1,Headmaster
ATT0007882,21-11-2025,SCH-0136,6,137,145,1,Headmaster
ATT0006291,04-11-2025,SCH-0361,2,228,164,1,Admin
ATT0012561,16-02-2026,SCH-0128,3,106,106,1,Class Teacher
ATT0002504,11-02-2026,SCH-0092,4,209,165,0,Class Teacher
ATT0007290,02-10-2025,SCH-0271,1,185,145,1,Headmaster
ATT0015715,24-12-2025,SCH-0348,3,67,52,1,Headmaster
ATT0016429,02-11-2025,SCH-0488,6,41,41,1,Class Teacher
ATT0000745,31-05-2025,SCH-0584,8,166,112,1,Not Recorded
ATT0017944,16-03-2026,SCH-0372,8,239,188,1,Headmaster
ATT0017881,02-06-2025,SCH-0493,5,240,208,1,Headmaster
ATT0015453,30-06-2025,SCH-0202,9,56,69,1,Clerk
ATT0010552,18-10-2025,SCH-0382,3,290,252,1,Clerk
ATT0019746,16-11-2025,SCH-0597,10,119,119,1,Headmaster
ATT0002326,19-11-2025,SCH-0168,1,132,127,1,Clerk
ATT0009961,11-03-2026,SCH-0118,8,155,105,0,Clerk
ATT0018383,30-08-2025,SCH-0532,5,205,192,1,Headmaster
ATT0016506,20-09-2025,SCH-0469,9,46,31,1,Headmaster
ATT0012139,25-01-2026,SCH-0417,5,160,176,1,Headmaster
ATT0016665,21-04-2025,SCH-0575,4,169,114,1,Admin
ATT0017392,06-04-2025,SCH-0303,2,270,270,0,Class Teacher
ATT0001167,01-11-2025,SCH-0540,3,244,178,1,Headmaster
ATT0009962,23-07-2025,SCH-0082,5,277,177,1,Class Teacher
ATT0006135,13-08-2025,SCH-0389,10,162,155,1,Clerk
ATT0009816,06-02-2026,SCH-0032,1,239,146,1,Admin
ATT0005672,21-03-2026,SCH-0012,5,182,151,1,Headmaster
ATT0006798,14-08-2025,SCH-0549,2,121,79,1,Not Recorded
ATT0007859,17-01-2026,SCH-0362,7,192,149,0,Class Teacher
ATT0011552,07-04-2025,SCH-0102,6,144,117,1,Class Teacher
ATT0018220,05-07-2025,SCH-0217,3,49,32,0,Class Teacher
ATT0007537,28-02-2026,SCH-0464,4,115,101,1,Headmaster
ATT0017089,12-04-2025,SCH-0133,8,136,122,0,Class Teacher
ATT0008467,27-04-2025,SCH-0297,8,299,232,0,Clerk
ATT0017746,28-03-2026,SCH-0083,5,287,205,0,Class Teacher
ATT0011454,14-10-2025,SCH-0547,1,261,252,0,Clerk
ATT0004950,23-06-2025,SCH-0486,5,70,57,1,Headmaster
ATT0013625,28-12-2025,SCH-0344,1,225,165,0,Clerk
ATT0019973,17-04-2025,SCH-0292,1,161,139,1,Class Teacher
ATT0012615,21-10-2025,SCH-0318,8,258,157,1,Headmaster
ATT0004439,31-03-2026,SCH-0532,5,135,120,0,Clerk
ATT0006632,28-10-2025,SCH-0136,6,161,126,1,Class Teacher
ATT0002752,07-10-2025,SCH-0234,2,221,174,0,Class Teacher
ATT0016471,15-10-2025,SCH-0235,1,297,267,1,Clerk
ATT0006557,11-08-2025,SCH-0538,3,142,159,1,Class Teacher
,23-03-2026,SCH-0565,9,138,115,1,Clerk
ATT0016793,08-08-2025,SCH-0019,8,135,99,1,Headmaster
ATT0005422,27-12-2025,SCH-0255,4,161,145,1,Class Teacher
ATT0011991,23-08-2025,SCH-0309,7,69,65,1,Not Recorded
ATT0000564,29-04-2025,SCH-0441,2,166,166,1,Admin
,12-06-2025,SCH-0231,3,128,139,1,Clerk
ATT0009691,29-07-2025,SCH-0283,1,57,41,0,Headmaster
ATT0018752,04-05-2025,SCH-0079,5,155,155,1,Headmaster
ATT0013496,05-10-2025,SCH-0076,5,59,59,1,Admin
ATT0004220,20-04-2025,SCH-0458,3,131,131,1,Class Teacher
,04-08-2025,SCH-0406,1,273,214,1,Headmaster
ATT0006358,13-10-2025,SCH-0333,2,221,214,1,Admin
ATT0004548,02-04-2025,SCH-0162,1,293,278,1,Not Recorded
,09-07-2025,SCH-0322,8,202,202,1,Clerk
ATT0002938,13-08-2025,SCH-0575,5,204,156,0,Clerk
ATT0016043,16-10-2025,SCH-0463,9,255,165,1,Admin
ATT0009359,25-03-2026,SCH-0284,4,257,229,0,Admin
ATT0013079,20-06-2025,SCH-0210,1,54,40,0,Not Recorded
ATT0015003,01-01-2026,SCH-0120,2,196,176,1,Headmaster
ATT0019801,20-10-2025,SCH-0550,8,196,165,1,Admin
ATT0005377,11-04-2025,SCH-0303,2,76,53,1,Headmaster
ATT0005478,08-02-2026,SCH-0305,1,209,225,1,Headmaster
ATT0019212,29-11-2025,SCH-0145,10,246,246,1,Clerk
ATT0017465,10-07-2025,SCH-0034,5,227,196,1,Headmaster
ATT0003949,16-10-2025,SCH-0298,3,236,218,1,Headmaster
ATT0008542,29-09-2025,SCH-0161,2,137,101,0,Clerk
ATT0008118,12-06-2025,SCH-0028,2,300,225,1,Headmaster
ATT0000777,11-01-2026,SCH-0167,5,209,151,1,Class Teacher
ATT0016135,27-07-2025,SCH-0580,7,51,51,1,Headmaster
ATT0004731,04-07-2025,SCH-0574,4,98,72,1,Headmaster
ATT0006219,13-08-2025,SCH-0192,4,203,125,1,Admin
ATT0015102,30-05-2025,SCH-0093,5,212,157,0,Class Teacher
ATT0003001,16-11-2025,SCH-0533,8,168,168,1,Admin
ATT0005863,26-01-2026,SCH-0014,5,77,49,1,Admin
ATT0018506,22-03-2026,SCH-0548,3,125,102,0,Class Teacher
ATT0009615,04-04-2025,SCH-0391,7,112,68,0,Not Recorded
ATT0013003,03-05-2025,SCH-0316,3,45,42,0,Not Recorded
ATT0011128,19-08-2025,SCH-0445,8,106,74,0,Headmaster
ATT0002120,02-12-2025,SCH-0191,5,90,90,0,Class Teacher
ATT0017627,22-08-2025,SCH-0475,5,252,191,1,Not Recorded
ATT0016319,07-06-2025,SCH-0061,4,119,99,1,Clerk
ATT0002754,21-04-2025,SCH-0106,4,237,155,1,Class Teacher
ATT0016898,09-05-2025,SCH-0106,3,51,37,1,Not Recorded
ATT0004521,30-08-2025,SCH-0490,2,95,76,1,Not Recorded
ATT0002458,06-11-2025,SCH-0060,9,93,74,1,Clerk
ATT0013853,29-12-2025,SCH-0382,1,180,126,0,Clerk
ATT0008482,04-06-2025,SCH-0071,8,108,80,1,Clerk
ATT0012100,03-10-2025,SCH-0423,7,127,91,0,Admin
ATT0011960,23-10-2025,SCH-0438,7,212,133,1,Clerk
ATT0008070,05-05-2025,SCH-0299,4,159,102,0,Clerk
ATT0007257,08-04-2025,SCH-0076,7,268,222,1,Headmaster
ATT0009490,25-06-2025,SCH-0397,2,229,240,1,Admin
ATT0014936,02-07-2025,SCH-0148,4,228,219,1,Class Teacher
ATT0014130,27-06-2025,SCH-0168,5,66,63,1,Admin
ATT0018191,19-04-2025,SCH-0157,6,79,79,1,Headmaster
ATT0016328,07-07-2025,SCH-0085,4,93,69,0,Headmaster
ATT0015663,19-03-2026,SCH-0041,5,186,145,1,Admin
ATT0015364,13-12-2025,SCH-0308,7,276,213,0,Headmaster
ATT0013039,12-06-2025,SCH-0571,4,225,158,1,Clerk
ATT0003283,01-11-2025,SCH-0068,8,91,64,0,Clerk
ATT0012182,22-03-2026,SCH-0470,1,68,68,1,Admin
ATT0004983,20-07-2025,SCH-0263,4,89,76,1,Headmaster
ATT0009503,17-06-2025,SCH-0141,5,205,198,0,Class Teacher
ATT0003406,04-03-2026,SCH-0042,1,240,225,1,Clerk
ATT0003959,10-03-2026,SCH-0461,3,74,57,1,Class Teacher
ATT0017342,15-10-2025,SCH-0403,4,102,111,0,Clerk
ATT0009179,27-06-2025,SCH-0466,5,272,230,1,Admin
ATT0002268,19-09-2025,SCH-0139,7,45,28,1,Clerk
ATT0013127,06-06-2025,SCH-0287,3,224,192,1,Admin
ATT0013335,14-04-2025,SCH-0092,2,219,138,1,Not Recorded
ATT0014774,11-10-2025,SCH-0355,6,42,36,1,Clerk
ATT0010369,31-05-2025,SCH-0206,10,122,98,1,Headmaster
ATT0007224,10-05-2025,SCH-0239,3,268,242,1,Not Recorded
ATT0018308,23-09-2025,SCH-0188,1,246,150,1,Not Recorded
,20-10-2025,SCH-0332,2,195,189,0,Admin
ATT0018556,28-03-2026,SCH-0053,1,108,89,0,Headmaster
ATT0002486,29-12-2025,SCH-0120,4,215,171,1,Admin
ATT0017100,24-08-2025,SCH-0163,5,216,184,1,Class Teacher
ATT0016223,30-12-2025,SCH-0289,5,131,82,1,Headmaster
ATT0004881,12-07-2025,SCH-0208,5,185,147,1,Headmaster
ATT0016299,07-07-2025,SCH-0473,5,171,144,1,Clerk
ATT0011867,19-03-2026,SCH-0124,2,93,72,0,Clerk
ATT0007276,09-12-2025,SCH-0007,3,138,90,1,Clerk
ATT0014291,04-07-2025,SCH-0001,1,202,158,1,Admin
ATT0014519,04-05-2025,SCH-0475,7,218,218,1,Headmaster
ATT0005526,07-09-2025,SCH-0376,3,133,133,1,Not Recorded
ATT0018711,17-05-2025,SCH-0307,8,285,257,1,Headmaster
ATT0009688,13-03-2026,SCH-0110,2,297,198,0,Admin
ATT0000409,16-04-2025,SCH-0173,5,260,191,1,Admin
ATT0008733,21-02-2026,SCH-0256,1,64,41,1,Not Recorded
ATT0001098,09-06-2025,SCH-0507,1,228,187,1,Headmaster
ATT0010787,18-07-2025,SCH-0479,9,188,168,1,Class Teacher
ATT0010978,15-04-2025,SCH-0118,4,292,307,1,Clerk
ATT0003935,17-12-2025,SCH-0317,2,47,29,1,Admin
ATT0010372,05-12-2025,SCH-0516,2,75,53,0,Clerk
,26-04-2025,SCH-0219,4,257,214,1,Clerk
ATT0007246,12-10-2025,SCH-0063,9,52,52,1,Admin
ATT0019319,24-03-2026,SCH-0508,2,277,262,1,Class Teacher
ATT0001494,02-12-2025,SCH-0562,10,80,80,0,Headmaster
ATT0015581,10-01-2026,SCH-0134,6,95,64,1,Class Teacher
ATT0018410,14-10-2025,SCH-0497,8,96,62,0,Headmaster
ATT0007410,27-07-2025,SCH-0285,4,86,86,1,Not Recorded
ATT0011571,11-12-2025,SCH-0143,2,299,215,1,Not Recorded
ATT0002827,09-01-2026,SCH-0171,1,57,55,1,Clerk
ATT0012796,20-08-2025,SCH-0074,5,105,73,0,Class Teacher
ATT0004985,19-11-2025,SCH-0290,2,137,101,1,Class Teacher
ATT0004974,01-06-2025,SCH-0201,10,202,126,0,Headmaster
ATT0013885,07-08-2025,SCH-0448,3,225,159,0,Class Teacher
ATT0002618,20-10-2025,SCH-0599,4,74,46,1,Not Recorded
ATT0003770,05-05-2025,SCH-0574,4,232,191,0,Not Recorded
ATT0016028,15-02-2026,SCH-0276,3,149,155,1,Clerk
ATT0004192,26-02-2026,SCH-0128,4,53,42,1,Headmaster
ATT0012701,06-04-2025,SCH-0251,9,266,266,1,Clerk
ATT0010141,04-09-2025,SCH-0546,4,174,152,1,Headmaster
ATT0019390,10-09-2025,SCH-0002,1,255,172,1,Headmaster
ATT0010040,26-05-2025,SCH-0053,10,121,73,1,Admin
ATT0000721,19-06-2025,SCH-0090,4,40,38,0,Headmaster
ATT0018126,01-05-2025,SCH-0075,5,197,151,1,Admin
ATT0017456,15-12-2025,SCH-0415,2,75,69,1,Not Recorded
ATT0011800,12-08-2025,SCH-0118,9,157,113,1,Class Teacher
ATT0011844,14-11-2025,SCH-0266,8,289,181,1,Headmaster
ATT0019838,05-06-2025,SCH-0389,2,185,120,0,Admin
ATT0000937,26-03-2026,SCH-0173,4,144,103,0,Class Teacher
ATT0002993,20-09-2025,SCH-0058,2,94,82,1,Admin
ATT0003734,15-05-2025,SCH-0060,6,259,212,0,Not Recorded
ATT0013532,05-01-2026,SCH-0476,8,171,127,1,Headmaster
ATT0018231,27-10-2025,SCH-0223,1,108,103,0,Clerk
ATT0001007,17-04-2025,SCH-0121,2,170,121,1,Class Teacher
ATT0012726,08-07-2025,SCH-0291,2,296,256,1,Not Recorded
ATT0002519,10-03-2026,SCH-0496,3,118,78,1,Admin
ATT0003249,14-05-2025,SCH-0447,8,299,211,1,Not Recorded
ATT0011119,07-05-2025,SCH-0593,5,239,250,1,Admin
ATT0015016,09-11-2025,SCH-0229,8,153,147,1,Admin
ATT0013195,22-09-2025,SCH-0481,5,223,166,1,Not Recorded
ATT0008510,08-07-2025,SCH-0055,2,168,131,1,Headmaster
ATT0014945,21-09-2025,SCH-0294,2,80,80,1,Clerk
ATT0008301,02-06-2025,SCH-0221,9,123,89,0,Clerk
ATT0005509,20-06-2025,SCH-0546,2,55,36,1,Headmaster
ATT0010121,27-06-2025,SCH-0064,1,107,72,0,Not Recorded
ATT0009843,26-07-2025,SCH-0428,1,187,177,0,Class Teacher
ATT0016589,15-04-2025,SCH-0206,3,60,55,0,Headmaster
ATT0007583,12-08-2025,SCH-0007,3,251,216,1,Clerk
ATT0007639,19-05-2025,SCH-0012,8,123,107,1,Clerk
ATT0012458,23-04-2025,SCH-0426,6,255,175,1,Admin
ATT0013665,22-07-2025,SCH-0242,5,133,101,1,Headmaster
ATT0011202,31-05-2025,SCH-0331,5,224,198,0,Clerk
ATT0009287,12-02-2026,SCH-0201,7,284,303,1,Clerk
ATT0011437,29-10-2025,SCH-0436,5,106,106,1,Class Teacher
ATT0003486,26-09-2025,SCH-0182,1,180,108,1,Headmaster
ATT0017957,23-03-2026,SCH-0030,8,123,119,1,Clerk
ATT0006904,30-01-2026,SCH-0063,4,297,245,1,Not Recorded
ATT0011314,02-07-2025,SCH-0424,3,144,113,0,Headmaster
ATT0011727,30-07-2025,SCH-0010,5,73,62,1,Admin
ATT0000483,10-09-2025,SCH-0494,5,240,217,1,Admin
ATT0019638,24-02-2026,SCH-0207,2,271,252,1,Class Teacher
ATT0006085,13-02-2026,SCH-0200,8,106,82,0,Headmaster
ATT0010164,10-03-2026,SCH-0480,4,215,180,1,Clerk
ATT0009876,25-05-2025,SCH-0423,8,70,62,1,Admin
ATT0019616,27-02-2026,SCH-0149,4,78,54,1,Admin
ATT0003474,12-10-2025,SCH-0278,5,74,74,1,Clerk
ATT0015794,17-03-2026,SCH-0128,2,166,155,1,Clerk
ATT0003012,03-04-2025,SCH-0348,1,239,172,1,Headmaster
ATT0015151,22-08-2025,SCH-0333,6,155,113,1,Admin
,17-06-2025,SCH-0084,2,66,54,1,Not Recorded
ATT0013994,27-04-2025,SCH-0546,4,230,230,1,Headmaster
ATT0003895,05-07-2025,SCH-0086,3,261,206,0,Admin
ATT0000539,18-01-2026,SCH-0018,5,195,156,1,Not Recorded
ATT0008539,17-06-2025,SCH-0416,5,76,53,0,Not Recorded
ATT0013296,12-05-2025,SCH-0319,6,240,195,1,Admin
ATT0003795,04-11-2025,SCH-0137,2,130,139,0,Headmaster
ATT0019218,01-08-2025,SCH-0201,2,129,81,0,Admin
ATT0003482,11-12-2025,SCH-0570,7,53,44,1,Headmaster
ATT0004167,23-01-2026,SCH-0180,4,134,99,1,Headmaster
ATT0010608,13-06-2025,SCH-0556,2,256,172,1,Not Recorded
ATT0014112,15-01-2026,SCH-0477,4,265,265,1,Headmaster
ATT0015504,30-10-2025,SCH-0186,4,73,62,1,Class Teacher
ATT0004485,05-05-2025,SCH-0384,4,234,150,1,Headmaster
ATT0006428,21-04-2025,SCH-0338,3,145,152,1,Headmaster
ATT0010991,13-03-2026,SCH-0092,5,134,154,1,Not Recorded
ATT0009544,19-09-2025,SCH-0051,2,110,104,1,Clerk
ATT0002877,27-04-2025,SCH-0512,4,283,259,1,Headmaster
,23-07-2025,SCH-0530,4,73,69,1,Class Teacher
ATT0015478,20-03-2026,SCH-0228,2,239,230,1,Headmaster
ATT0011145,13-02-2026,SCH-0083,3,199,148,1,Headmaster
ATT0008271,21-03-2026,SCH-0376,7,89,68,1,Headmaster
ATT0002797,24-05-2025,SCH-0468,4,105,78,0,Headmaster
ATT0018816,31-12-2025,SCH-0268,10,156,156,1,Class Teacher
,20-08-2025,SCH-0586,5,55,45,0,Headmaster
ATT0014530,10-10-2025,SCH-0552,4,43,25,0,Class Teacher
ATT0013913,15-08-2025,SCH-0419,4,244,182,1,Class Teacher
ATT0003911,01-11-2025,SCH-0521,9,286,238,1,Admin
ATT0007331,08-07-2025,SCH-0202,5,140,114,1,Not Recorded
ATT0003499,12-06-2025,SCH-0328,1,285,271,0,Admin
ATT0015422,02-07-2025,SCH-0201,6,89,64,1,Admin
ATT0005515,17-03-2026,SCH-0511,2,243,166,1,Headmaster
ATT0018621,06-05-2025,SCH-0599,2,286,229,0,Class Teacher
ATT0002316,03-11-2025,SCH-0451,2,144,96,0,Headmaster
,10-12-2025,SCH-0220,3,112,85,1,Clerk
ATT0004194,13-12-2025,SCH-0486,7,110,89,1,Headmaster
ATT0008820,05-02-2026,SCH-0032,1,72,69,1,Class Teacher
ATT0013348,26-08-2025,SCH-0332,2,146,140,1,Not Recorded
ATT0015692,17-12-2025,SCH-0443,6,251,264,0,Not Recorded
ATT0007663,11-08-2025,SCH-0149,7,82,55,1,Headmaster
ATT0002352,02-12-2025,SCH-0499,6,103,103,0,Headmaster
ATT0006578,23-11-2025,SCH-0423,5,186,186,1,Not Recorded
ATT0007186,06-07-2025,SCH-0146,4,222,142,1,Class Teacher
ATT0007933,27-10-2025,SCH-0460,4,180,114,0,Headmaster
ATT0016150,16-12-2025,SCH-0130,8,151,168,0,Not Recorded
ATT0016551,28-02-2026,SCH-0168,1,265,205,0,Headmaster
ATT0017565,29-11-2025,SCH-0356,1,266,200,1,Class Teacher
ATT0013189,21-11-2025,SCH-0419,4,197,176,1,Clerk
ATT0017212,05-11-2025,SCH-0270,2,222,213,0,Headmaster
ATT0002347,12-12-2025,SCH-0066,9,162,120,0,Class Teacher
ATT0006877,16-11-2025,SCH-0334,2,140,87,1,Admin
ATT0019152,09-11-2025,SCH-0146,5,145,103,1,Admin
ATT0004606,25-07-2025,SCH-0176,3,58,38,1,Not Recorded
ATT0004626,29-11-2025,SCH-0059,1,84,84,0,Headmaster
ATT0001536,10-11-2025,SCH-0243,3,282,236,0,Headmaster
ATT0001730,03-03-2026,SCH-0573,2,190,184,1,Not Recorded
ATT0018882,31-07-2025,SCH-0021,1,146,117,1,Clerk
ATT0006210,14-03-2026,SCH-0300,3,289,203,1,Headmaster
ATT0007409,12-03-2026,SCH-0517,10,265,213,1,Admin
ATT0008538,20-02-2026,SCH-0241,8,91,65,1,Class Teacher
ATT0006260,04-10-2025,SCH-0178,3,254,220,1,Clerk
ATT0018685,05-08-2025,SCH-0002,5,109,98,1,Headmaster
ATT0015355,23-08-2025,SCH-0274,8,271,232,1,Clerk
ATT0019846,11-12-2025,SCH-0181,2,283,219,1,Admin
